ID,IMD,% LV,Road,Latitude,Longitude
I103,24957,81,A4,39.6027968,-3.5250819
I104,25556,81,A4,39.4967408,-3.5275495
I105,21561,77,A4,39.4135697,-3.5109199
I106,26068,76,A4,39.358858,-3.4897841
I107,20774,76,A4,39.2810036,-3.4512675
I108,18778,76,A4,39.1965794,-3.4043177
I109,18624,74,A4,39.1656254,-3.3925373
I110,18925,77,A4,39.0959001,-3.3767659
I111,25318,70,A4,38.9456915,-3.3855717
I112,25995,72,A4,38.821721,-3.3956355
I113,23656,73,A4,38.6597435,-3.4572403
I114,23632,71,A4,38.5370544,-3.4932893
I115,23819,70,A4,38.4989103,-3.5029129
I116,23493,72,A4,38.4070434,-3.4997372
I117,25651,71,A4,38.3731882,-3.5128693
I118,22401,70,A4,38.3315906,-3.5428456
I119,29097,74,A4,38.2376028,-3.6299423
I120,24339,73,A4,38.1803106,-3.6951307
I121,27463,74,A4,38.132105,-3.7498264
I122,13059,65,A4,38.1080493,-3.7871841
I123,15121,69,A4,38.0488641,-3.9087204
I124,19510,74,A4,38.0381671,-4.033883
I125,17707,74,A4,38.0371531,-4.1460208
I126,16674,70,A4,38.0070813,-4.2235474
I127,13923,68,A4,37.9868574,-4.2930702
I128,17240,72,A4,38.0097864,-4.3663696
I129,19094,76,A4,37.9679891,-4.4614453
I130,17924,73,A4,37.9523907,-4.5225353
I131,23248,80,A4,37.9370259,-4.5695276
I132,26652,80,A4,37.9079288,-4.6044392
I133,26832,82,A4,37.9014105,-4.6574611
I134,30013,82,A4,37.8945867,-4.7329921
I135,23993,83,A4,37.7941216,-4.8125143
I136,23244,80,A4,37.7350904,-4.8517818
I137,20553,80,A4,37.7118041,-4.9049969
I138,16060,77,A4,37.6832465,-4.9257035
I139,18498,76,A4,37.5962665,-4.9762792
I140,20347,79,A4,37.5495656,-5.0423259
I141,24038,81,A4,37.5239984,-5.1334913
I142,17680,80,A4,37.5239304,-5.2080568
I143,17330,79,A4,37.5026547,-5.4504427
I144,17239,81,A4,37.4803684,-5.5959471
I145,25137,83,A4,37.4719561,-5.6871422
I146,32835,87,A4,37.4536808,-5.7586821
I147,44541,88,A4,37.4326749,-5.8152445
I148,54522,89,A4,37.4236777,-5.906268
I149,58605,86,A4,37.3259353,-5.9853611
I150,36072,90,A4,37.267762,-5.9693964
I151,20682,88,A4,37.2389441,-5.9108599
I152,26215,93,A4,37.1220582,-5.9285196
I153,20798,93,A4,36.8610353,-5.9949526
I154,20717,93,A4,36.819512,-6.0354217
I155,27722,93,A4,36.6741706,-6.0882089
I156,18334,93,A4,36.5848848,-6.0907839
I157,29675,93,A4,36.6580223,-6.1726776
I158,37118,92,A4,36.647418,-6.1761108
I159,55875,93,A5,40.2979018,-3.9516565
I160,51321,92,A5,40.2205465,-4.0771195
I161,32225,90,A5,40.1702279,-4.1608902
I162,31285,91,A5,40.1266322,-4.2192551
I163,27102,89,A5,40.0988002,-4.3363282
I164,35978,88,A5,40.0349537,-4.4245174
I165,31066,89,A5,40.0202316,-4.5172146
I166,28021,86,A5,39.9962522,-4.6687701
I167,23166,81,A5,40.0039121,-4.7691705
I168,21699,85,A5,39.9801077,-4.8533919
I169,18690,85,A5,39.9069167,-5.2202461
I170,17811,86,A5,39.8883803,-5.4873303
I171,15526,86,A5,39.8634817,-5.6054977
I172,17122,90,A5,39.6995216,-5.6916931
I173,13142,84,A5,39.5858253,-5.8347729
I174,10687,83,A5,39.124783,-5.9596765
I175,8684,81,A5,39.035969,-6.067673
I176,8573,82,A5,39.0055614,-6.0906756
I177,16076,83,A5,38.9894614,-6.1247908
I178,16343,79,A5,38.9504069,-6.2195263
I179,15468,78,A5,38.943281,-6.3430796
I180,22837,75,A5,38.9326158,-6.3665972
I181,21069,90,A5,38.9086245,-6.3816359
I182,16396,86,A5,38.8687736,-6.4960436
I183,20433,87,A5,38.8681388,-6.8381218
I184,20519,85,A5,38.8621575,-6.751068
I185,16795,87,A5,38.8440769,-6.674507
I186,21138,95,A5,38.906562,-6.9361066
I187,10002,77,A5,38.9085824,-6.9950937
I188,123253,92,A6,40.5732511,-3.9258528
I189,35936,87,A6,40.6456541,-4.0497045
I190,36184,87,A6,40.6578041,-4.0951519
I191,28674,85,A6,40.7391531,-4.2289834
I192,25169,85,A6,40.769184,-4.3846278
I193,15202,90,A6,40.7908368,-4.4498594
I194,15308,90,A6,40.8984577,-4.5741422
I195,14746,90,A6,40.9352054,-4.5856616
I196,14428,76,A6,40.9502467,-4.6072909
I197,19433,78,A6,41.0028321,-4.6600124
I198,19704,83,A6,41.1180783,-4.7653544
I199,19399,83,A6,41.1805919,-4.8073471
I200,24217,85,A6,41.3740229,-4.9619067
I201,24936,86,A6,41.4728627,-4.9893725
I202,17713,82,A6,41.6310975,-5.1856673
I203,17987,81,A6,41.8840998,-5.4594886
I204,18143,81,A6,41.9851426,-5.6297124
I205,21933,76,A6,42.0221047,-5.6694917
I206,7013,76,A6,42.1037161,-5.721312
I207,6610,78,A6,42.2811783,-5.8854992
I208,7903,78,A6,42.3917176,-5.9995467
I209,13273,77,A6,42.623483,-6.2996271
I210,19160,83,A6,42.5625867,-6.5694358
I211,7933,73,A6,42.7406698,-7.0486299
I212,7989,71,A6,42.7688724,-7.088391
I213,10457,77,A6,42.8601826,-7.1316925
I214,10425,78,A6,42.9856181,-7.5020093
I215,10933,79,A6,43.0106337,-7.5169652
I216,14314,80,A6,43.0361724,-7.5215142
I217,25426,86,A6,43.0940344,-7.5906508
I218,19002,83,A6,43.1531724,-7.6755375
I219,19873,80,A6,43.1736912,-7.782976
I220,21514,85,A6,43.185677,-7.8323538
I221,17681,79,A6,43.1880082,-7.9222828
I222,15944,84,A6,43.190308,-7.9737169
I223,17678,85,A6,43.2191495,-8.0533893
I224,22356,87,A6,43.2433196,-8.1722218
I225,60588,90,A7,36.2084043,-5.381534
I226,40558,91,A7,36.3165853,-5.2462204
I227,16338,88,A7,36.3487091,-5.2713918
I228,34816,90,A7,36.4341071,-5.1569151
I229,47044,92,A7,36.44985,-5.0868773
I230,11608,91,A7,36.4860357,-5.0748395
I231,91260,95,A7,36.4724057,-5.0097369
I232,76225,89,A7,36.5240499,-4.9761342
I233,71921,93,A7,36.4883648,-4.9602556
I234,76225,89,A7,36.5064249,-4.8241066
I235,17725,93,A7,36.5122371,-4.7747969
I236,64874,92,A7,36.4944887,-4.7703981
I237,71677,88,A7,36.4911767,-4.6997165
I238,74524,94,A7,36.5070458,-4.6402359
I239,17708,93,A7,36.5746603,-4.6197867
I240,97283,92,A7,36.6103048,-4.5349929
I241,117332,91,A7,36.6172115,-4.5189855
I242,117332,91,A7,36.6274393,-4.5147492
I243,78456,95,A7,36.6906493,-4.5261218
I244,151285,95,A7,36.7500226,-4.4960381
I245,73421,93,A7,36.7451396,-4.4609334
I246,72202,94,A7,36.7384419,-4.3911857
I247,65424,94,A7,36.7244089,-4.2821377
I248,68121,93,A7,36.7261976,-4.2137458
I249,58776,93,A7,36.748982,-4.1592433
I250,43544,91,A7,36.7564608,-4.1014793
I251,34976,89,A7,36.7576126,-4.047127
I252,28225,90,A7,36.7471767,-3.9722183
I253,23587,92,A7,36.7569766,-3.91233
I254,12878,88,A7,36.7575954,-3.6653967
I255,15509,89,A7,36.7293619,-3.4732862
I256,12321,85,A7,36.7502544,-3.2124038
I257,10428,82,A7,36.7530396,-3.1053514
I258,19829,89,A7,36.7482771,-3.064496
I259,19677,87,A7,36.7564092,-2.9131337
I260,27316,88,A7,36.7628902,-2.8599401
I261,36391,88,A7,36.7661734,-2.8274746
I262,38443,89,A7,36.7835327,-2.7518792
I263,40960,91,A7,36.7910425,-2.707419
I264,37035,89,A7,36.8272059,-2.5880284
I265,45842,89,A7,36.8298166,-2.5155659
I266,25460,85,A7,36.8686053,-2.3147322
I267,27788,87,A7,36.8721759,-2.2270776
I268,19849,83,A7,36.9070828,-2.2125937
I269,16171,82,A7,36.9652713,-2.1038768
I270,13834,80,A7,37.0336993,-2.0422503
I271,13054,79,A7,37.1090306,-2.0295045
I272,12507,77,A7,37.2085584,-1.8987844
I273,19195,83,A7,37.3286548,-1.9679853
I274,1406,82,A7,37.2800792,-1.8416211
I275,2107,80,A7,37.4678877,-1.5404412
I276,2556,85,A7,37.6361711,-1.2286613
I277,27429,79,A7,37.6132617,-1.7554901
I278,35363,80,A7,37.8247404,-1.4083182
I279,45986,80,A7,37.9398182,-1.2696526
I280,41282,83,A7,37.9955744,-1.236007
I281,67272,89,A7,38.0034672,-1.1787528
I282,50247,83,A7,38.0960148,-1.0483631
I283,44094,81,A7,38.1386539,-0.9399244
I284,27832,94,A7,37.7957255,-0.8410149
I285,27449,88,A7,37.9873602,-0.7609516
I286,23306,88,A7,38.0962961,-0.7687747
I287,64074,83,A7,38.2695498,-0.748862
I288,60116,90,A7,38.4531465,-0.3735504
I289,21704,92,A7,38.602016,-0.0742202
I290,16727,92,A7,38.7569294,0.0521226
I291,16710,94,A7,38.878908,-0.0522476
I292,16933,94,A7,39.1531279,-0.3337722
I293,25460,90,A7,38.592341,-0.6177295
I294,18475,87,A7,38.7858227,-0.4110492
I295,52044,79,A7,39.0652009,-0.5425153
I296,47197,74,A7,39.3704802,-0.4554076
I297,93149,71,A7,39.5083566,-0.5082793
I298,82820,75,A7,39.546753,-0.4444218
I299,65131,82,A7,39.584866,-0.410089
I300,78090,74,A7,39.6226924,-0.3270049
I301,49362,76,A7,39.7777492,-0.2277846
I302,14637,81,A7,39.8080858,-0.1598067
I303,14727,80,A7,39.9953478,-0.0780959
I304,15232,79,A7,40.0615963,0.0626664
I305,14751,80,A7,40.1331293,0.1395199
I306,16051,64,A7,40.2795781,0.2308717
I307,13810,60,A7,40.3117866,0.24286
I308,15943,78,A7,40.4452046,0.3956424
I309,16576,79,A7,40.5845789,0.4601857
I310,17715,79,A7,40.7956101,0.6661807
I311,21182,81,A7,40.8483224,0.751249
I312,20409,81,A7,40.9562735,0.8642028
I313,16779,80,A7,40.9871186,0.8978479
I314,25253,84,A7,41.1676613,1.4197694
I315,39667,80,A7,41.2425685,1.5289461
I316,47532,79,A7,41.3106854,1.6257631
I317,54876,82,A7,41.3722905,1.7307386
I318,72429,80,A7,41.4232638,1.8234467
I319,75831,81,A7,41.4626399,1.9061875
I320,109657,80,A7,41.54131,2.1827571
I321,86003,83,A7,41.5585246,2.251765
I322,61658,81,A7,41.6324698,2.3952739
I323,52710,80,A7,41.7445094,2.6927839
I324,35187,76,A7,41.8823036,2.7705465
I325,72252,80,A7,41.9806376,2.7801595
I326,42852,73,A7,42.0563917,2.8816114
I327,24181,59,A7,42.2776344,2.9406408
I328,28443,64,A7,42.3624207,2.8953222
I329,33395,68,A7,42.4306236,2.8637365
I330,9832,80,A7,43.2735658,-7.7024761
I331,9563,88,A8,43.3293775,-7.600147
I332,8029,85,A8,43.3792641,-7.3795309
I333,10001,84,A8,43.5317871,-7.0980063
I334,13203,85,A8,43.543773,-7.0326111
I335,13480,88,A8,43.5238612,-6.5328671
I336,10082,85,A8,43.5397912,-6.4264371
I337,17173,90,A8,43.519878,-6.070068
I338,22891,92,A8,43.5338179,-5.9375455
I339,35340,93,A8,43.5029467,-5.800903
I340,44396,93,A8,43.5049389,-5.7597043
I341,23784,92,A8,43.5139028,-5.6718136
I342,13864,89,A8,43.4770425,-5.5255582
I343,16837,85,A8,43.4964717,-5.370054
I344,13663,86,A8,43.4366696,-4.9841592
I345,16241,87,A8,43.4247021,-4.8104379
I346,12817,84,A8,43.3912803,-4.6258368
I347,15320,86,A8,43.3613346,-4.3951239
I348,28077,92,A8,43.3268811,-4.1645336
I349,37132,91,A8,43.3543452,-4.0848827
I350,19549,87,A8,43.3531609,-3.7754759
I351,37530,88,A8,43.4110499,-3.5859619
I352,41158,90,A8,43.4020711,-3.405374
I353,32792,88,A8,43.3955853,-3.2405791
I354,45504,91,A8,43.3501651,-3.2131133
I355,102362,89,A8,43.3124556,-3.0359632
I356,46294,88,A8,43.2102104,-2.7106927
I357,31508,82,A8,43.2813974,-2.1856615
I358,31790,86,A66,37.4720705,-6.051832
I359,15770,80,A66,37.7896559,-6.1973986
I360,16183,79,A66,38.0128729,-6.2276132
I361,13949,75,A66,38.20737,-6.288038
I362,18041,78,A66,38.5679703,-6.3621957
I363,20552,84,A66,38.881885,-6.3690622
I364,11402,82,A66,39.0985847,-6.2839182
I365,11028,82,A66,39.414404,-6.4006479
I366,11664,79,A66,39.8416638,-6.3538413
I367,9582,75,A66,40.0627251,-6.1197009
I368,10540,78,A66,40.3939847,-5.7869062
I369,10222,93,A66,40.8803881,-5.6679987
I370,25538,78,A66,41.0012184,-5.6767022
I371,7966,86,A66,41.2918722,-5.7012498
I372,18755,95,A66,41.5049081,-5.7138928
I373,8995,86,A66,41.6561711,-5.7952603
I374,11483,83,A66,42.3231175,-5.6082268
I375,7550,83,A66,42.6230168,-5.7418283
I376,8914,84,A66,42.8288178,-5.8743509
I377,11220,83,A66,43.1192002,-5.8159861
I378,26899,91,A66,43.2078492,-5.7871469
I379,36056,92,A66,43.3367424,-5.8699307
I380,56862,92,A66,43.47926,-5.7892498
I381,20598,90,A67,41.9495429,-4.5044913
I382,8061,89,A67,42.143561,-4.4694724
I383,8707,87,A67,42.7698862,-4.2772117
I384,10767,82,A67,42.8857109,-4.1357627
I385,29670,91,A67,43.2946404,-4.0770476
